Date,Air_quality_Code, pm25, pm10, no2, so2
8/21/2017,9,75,37,23,1
8/22/2017,9,71,37,23,1
8/23/2017,9,73,38,22,1
8/24/2017,9,77,37,20,1
8/25/2017,9,73,32,16,1
8/26/2017,9,69,36,26,1
8/27/2017,9,72,35,26,2
8/28/2017,9,69,33,25,2
8/29/2017,9,68,34,24,2
8/30/2017,9,69,32,25,1
8/31/2017,9,69,37,20,2
9/1/2017,9,72,38,13,1
9/2/2017,9,73,37,22,1
9/3/2017,9,67,34,30,1
9/4/2017,9,61,38,26,1
9/5/2017,9,72,45,26,1
9/6/2017,9,65, , , 
9/10/2017,9, ,38,34,2
9/11/2017,9,68,44,33,2
9/12/2017,9,85,55,25,1
9/13/2017,9,83,51,28,1
9/14/2017,9,71,39,28,1
9/15/2017,9,67,32,26,2
9/16/2017,9,69,39,32,2
9/17/2017,9,73,46,34,2
9/18/2017,9,83,57,37,1
9/19/2017,9,102,39,26,1
9/20/2017,9,82,42,16,1
9/21/2017,9,80,33,15,1
9/22/2017,9,57,24,13,1
9/23/2017,9,45,28,29,1
9/24/2017,9,54,40,27,1
9/25/2017,9,66,29,26,1
9/26/2017,9,59,35,29,1
9/27/2017,9,58,32,31,1
9/28/2017,9,61,38,23,1
9/29/2017,9,71,27,4,1
9/30/2017,9,61,33,26,1
10/1/2017,9,55,51,36,1
10/2/2017,9,74,33,23,1
10/3/2017,9,56,30,27,1
10/4/2017,9,61,26,9,1
10/5/2017,9,57,31,15,1
10/6/2017,9,62,27,15,1
10/7/2017,9,57,55,26,1
10/8/2017,9,98,37,20,1
10/9/2017,9,60,33,15,1
10/10/2017,9,52,30,16,1
10/11/2017,9,54,21,11,1
10/12/2017,9,50,25,16,1
10/13/2017,9,53,22,16,1
10/14/2017,9,51,38,37,1
10/15/2017,9,62,40,44,1
10/16/2017,9,70,40,37,2
10/17/2017,9,64,54,49,2
10/18/2017,9,85,80,57,2
10/19/2017,9,117,47,30,1
10/20/2017,9,80,28,23,1
10/21/2017,9,66,38,35,1
10/22/2017,9,71,38,37,1
10/23/2017,9,70,34,40,1
10/24/2017,9,70,42,35,1
10/25/2017,9,77,60,37,1
10/26/2017,9,83,64,40,2
10/27/2017,9,107,44,23,1
10/28/2017,9,67,49,39,2
10/29/2017,9,75,50,37,1
10/30/2017,9,80,38,35,1
10/31/2017,9,61,29,26,1
11/1/2017,9,58,30,32,1
11/2/2017,9,55,26,19,1
11/3/2017,9,51,23,18,1
11/4/2017,9,58,34,38,1
11/5/2017,9,67,37,33,1
11/6/2017,9,69,44,29,1
11/7/2017,9,82,42,24,1
11/8/2017,9,72,35,26,1
11/9/2017,9,56,38,30,1
11/10/2017,9,66,27,17,1
11/11/2017,9,53,61,30,2
11/12/2017,9,91,133,46,1
11/13/2017,9,156,88,51,2
11/14/2017,9,140,75,35,1
11/15/2017,9,125,84,39,1
11/16/2017,9,132,86,40,2
11/17/2017,9,141,67,26,1
11/18/2017,9,109,59,31,1
11/19/2017,9,94,60,35,1
11/20/2017,9,91,45,29,1
11/21/2017,9,66, , , 
11/22/2017,9, ,37,34,1
11/23/2017,9,61,29,30,1
11/24/2017,9,55,25,23,1
11/25/2017,9,56,45,38,1
11/26/2017,9,79,36,34,1
11/27/2017,9,73,41,39,1
11/28/2017,9,80,42,39,1
11/29/2017,9,77,30,28,1
11/30/2017,9,59,52,33,2
12/1/2017,9,90,60,27,2
12/2/2017,9,100,68,57,2
12/3/2017,9,123,69,50,2
12/4/2017,9,117,55,39,2
12/5/2017,9,96,40,23,2
12/6/2017,9,63,41,25,2
12/7/2017,9,51,32,28,2
12/8/2017,9,64,38,29,2
12/9/2017,9,76,63,41,2
12/10/2017,9,101,66,41,2
12/11/2017,9,110,77,67,2
12/12/2017,9,143,52,35,1
12/13/2017,9,97,31,28,1
12/14/2017,9,56,33,29,1
12/15/2017,9,67,30,20,1
12/16/2017,9,70,53,42,2
12/17/2017,9,92,65,57,2
12/18/2017,9,99,66,43,2
12/19/2017,9,110,86,48,3
12/20/2017,9,140,89,52,3
12/21/2017,9,142,83,54,3
12/22/2017,9,145,71,29,2
12/23/2017,9,114,56,25,1
12/24/2017,9,79,51,27,1
12/25/2017,9,60,45,35,2
12/26/2017,9,76,50,44,2
12/27/2017,9,78,63,44,2
12/28/2017,9,107,65,35,2
12/29/2017,9,115,46,26,1
12/30/2017,9,92, , , 
12/31/2017,9, ,35,33,2
1/1/2018,9,72,37,28,2
1/2/2018,9,63,46,42,2
1/3/2018,9,77,68,31,2
1/4/2018,9,102,73,13, 
1/5/2018,9,119,28,15,1
1/6/2018,9,71,43,34,2
1/7/2018,9,83,50,39,3
1/8/2018,9,96,40,43,2
1/9/2018,9,78,39,37,2
1/10/2018,9,79,57,56,4
1/11/2018,9,103,85,43,2
1/12/2018,9,135,65,30,2
1/13/2018,9,110,60,32,2
1/14/2018,9,97,34,33,2
1/15/2018,9,60,31,32,2
1/16/2018,9,60,32,33,2
1/17/2018,9,69,71,23,2
1/18/2018,9,87,43,10,1
1/19/2018,9,62,37,20,1
1/20/2018,9,72,56,44,2
1/21/2018,9,101,111,43,2
1/22/2018,9,147,59,25,1
1/23/2018,9,91,30,33,2
1/24/2018,9,63,25,30,1
1/25/2018,9,60,22,23,1
1/26/2018,9,60,19,24,1
1/27/2018,9,57,44,36,2
1/28/2018,9,73,44,38,2
1/29/2018,9,96,41,36,2
1/30/2018,9,127,35,34,2
1/31/2018,9,86,51,39,2
2/1/2018,9,102,59,35,2
2/2/2018,9,120,59,28,2
2/3/2018,9,125,67,47,3
2/4/2018,9,123,65,52,3
2/5/2018,9,127,66,49,3
2/6/2018,9,120,72,46,3
2/7/2018,9,122,94,50,3
2/8/2018,9,154,80,32,3
2/9/2018,9,141,72,26,2
2/10/2018,9,139,85,29,2
2/11/2018,9,137,36,19,1
2/12/2018,9,70,30,23,1
2/13/2018,9,49,30,22,2
2/14/2018,9,56,43,41,2
2/15/2018,9,87,49,27,2
2/16/2018,9,92,35,13,1
2/17/2018,9,108,48,16,1
2/18/2018,9,149,40,22,2
2/19/2018,9,75,42,31,2
2/20/2018,9,84,43,31,2
2/21/2018,9,75,43,28,2
2/22/2018,9,91,49,19,2
2/23/2018,9,93,44,17,2
2/24/2018,9,86,42,25,2
