date, pm25, pm10, no2, so2,Air_quality_Code,,,,,
1/15/2018,,,,,7,,,,, 
1/16/2018,,,,,7,,,,, 
1/17/2018,,,,,7,,,,, 
1/18/2018,,,,,7,,,,, 
1/19/2018,,,,,7,,,,, 
1/20/2018,,,,,7,,,,, 
1/21/2018,,,,,7,,,,, 
1/22/2018,,,,,7,,,,, 
1/23/2018,,,,,7,,,,, 
1/24/2018,,,,,7,,,,, 
1/25/2018,,,,,7,,,,, 
1/26/2018,,,,,7,,,,, 
1/27/2018,,,,,7,,,,, 
1/28/2018,,,,,7,,,,, 
1/29/2018,,,,,7,,,,, 
1/30/2018,,,,,7,,,,, 
1/31/2018,,,,,7,,,,, 
2/1/2018,,,,,7,,,,, 
2/2/2018,,,,,7,,,,, 
2/3/2018,,,,,7,,,,, 
2/4/2018,,,,,7,,,,, 
2/5/2018,,,,,7,,,,, 
2/6/2018,,,,,7,,,,, 
2/7/2018,,,,,7,,,,, 
2/8/2018,,,,,7,,,,, 
2/9/2018,,,,,7,,,,, 
2/10/2018,,,,,7,,,,, 
2/11/2018,,,,,7,,,,, 
2/12/2018,,,,,7,,,,, 
2/13/2018,,,,,7,,,,, 
2/14/2018,,,,,7,,,,, 
2/15/2018,,,,,7,,,,, 
2/16/2018,,,,,7,,,,, 
2/17/2018,,,,,7,,,,, 
2/18/2018,,,,,7,,,,, 
2/19/2018,,,,,7,,,,, 
2/20/2018,,,,,7,,,,, 
2/21/2018,,,,,7,,,,, 
2/22/2018,,,,,7,,,,, 
2/23/2018,,,,,7,,,,, 
2/24/2018,,,,,7,,,,, 
2/25/2018,,,,,7,,,,, 
2/26/2018,,,,,7,,,,, 
2/27/2018,,,,,7,,,,, 
2/28/2018,,,,,7,,,,, 
3/1/2018,,,,,7,,,,, 
3/2/2018,,,,,7,,,,, 
3/3/2018,,,,,7,,,,, 
3/4/2018,,,,,7,,,,, 
3/5/2018,,,,,7,,,,, 
3/6/2018,,,,,7,,,,, 
3/7/2018,,,,,7,,,,, 
3/8/2018,,,,,7,,,,, 
3/9/2018,,,,,7,,,,, 
3/10/2018,,,,,7,,,,, 
3/11/2018,,,,,7,,,,, 
3/12/2018,,,,,7,,,,, 
3/13/2018,,,,,7,,,,, 
3/14/2018,,,,,7,,,,, 
3/15/2018,,,,,7,,,,, 
3/16/2018,,,,,7,,,,, 
3/17/2018,,,,,7,,,,, 
3/18/2018,,,,,7,,,,, 
3/19/2018,,,,,7,,,,, 
3/20/2018,,,,,7,,,,, 
3/21/2018,,,,,7,,,,, 
3/22/2018,,,,,7,,,,, 
3/23/2018,,,,,7,,,,, 
3/24/2018,,,,,7,,,,, 
3/25/2018,,,,,7,,,,, 
3/26/2018,,,,,7,,,,, 
3/27/2018,,,,,7,,,,, 
3/28/2018,,,,,7,,,,, 
3/29/2018,,,,,7,,,,, 
3/30/2018,,,,,7,,,,, 
3/31/2018,,,,,7,,,,, 
4/1/2018,,,,,7,,,,, 
4/2/2018,,,,,7,,,,, 
4/3/2018,,,,,7,,,,, 
4/4/2018,,,,,7,,,,, 
4/5/2018,,,,,7,,,,, 
4/6/2018,,,,,7,,,,, 
4/7/2018,,,,,7,,,,, 
4/8/2018,,,,,7,,,,, 
4/9/2018,,,,,7,,,,, 
4/10/2018,,,,,7,,,,, 
4/11/2018,,,,,7,,,,, 
4/12/2018,,,,,7,,,,, 
4/13/2018,,,,,7,,,,, 
4/14/2018,,,,,7,,,,, 
4/15/2018,,,,,7,,,,, 
4/16/2018,,,,,7,,,,, 
4/17/2018,,,,,7,,,,, 
4/18/2018,,,,,7,,,,, 
4/19/2018,,,,,7,,,,, 
4/20/2018,,,,,7,,,,, 
4/21/2018,,,,,7,,,,, 
4/22/2018,,,,,7,,,,, 
4/23/2018,,,,,7,,,,, 
4/24/2018,,,,,7,,,,, 
4/25/2018,,,,,7,,,,, 
4/26/2018,,,,,7,,,,, 
4/27/2018,,,,,7,,,,, 
4/28/2018,,,,,7,,,,, 
4/29/2018,,,,,7,,,,, 
4/30/2018,,,,,7,,,,, 
5/1/2018,,,,,7,,,,, 
5/2/2018,,,,,7,,,,, 
5/3/2018,,,,,7,,,,, 
5/4/2018,,,,,7,,,,, 
5/5/2018,,,,,7,,,,, 
5/6/2018,,,,,7,,,,, 
5/7/2018,,,,,7,,,,, 
5/8/2018,,,,,7,,,,, 
5/9/2018,,,,,7,,,,, 
5/10/2018,,,,,7,,,,, 
5/11/2018,,,,,7,,,,, 
5/12/2018,,,,,7,,,,, 
5/13/2018,,,,,7,,,,, 
5/14/2018,,,,,7,,,,, 
5/15/2018,,,,,7,,,,, 
5/16/2018,,,,,7,,,,, 
5/17/2018,,,,,7,,,,, 
5/18/2018,,,,,7,,,,, 
5/19/2018,,,,,7,,,,, 
5/20/2018,,,,,7,,,,, 
5/21/2018,,,,,7,,,,, 
5/22/2018,,,,,7,,,,, 
5/23/2018,,,,,7,,,,, 
5/24/2018,,,,,7,,,,, 
5/25/2018,,,,,7,,,,, 
5/26/2018,,,,,7,,,,, 
5/27/2018,,,,,7,,,,, 
5/28/2018,,,,,7,,,,, 
5/29/2018,,,,,7,,,,, 
5/30/2018,,,,,7,,,,, 
5/31/2018,,,,,7,,,,, 
6/1/2018,,,,,7,,,,, 
6/2/2018,,,,,7,,,,, 
6/3/2018,,,,,7,,,,, 
6/4/2018,,,,,7,,,,, 
6/5/2018,,,,,7,,,,, 
6/6/2018,,,,,7,,,,, 
6/7/2018,,,,,7,,,,, 
6/8/2018,,,,,7,,,,, 
6/9/2018,,,,,7,,,,, 
6/10/2018,,,,,7,,,,, 
6/11/2018, , , ,,7,,,,, 
6/12/2018,57, , ,,7,,,,, 
6/13/2018,61, ,1,,7,,,,, 
6/14/2018,61, , ,,7,,,,, 
6/15/2018,49, ,1,,7,,,,, 
6/16/2018,84, , ,,7,,,,, 
6/17/2018,62, , ,,7,,,,, 
6/18/2018,59, ,1,,7,,,,, 
6/19/2018,68, ,1,,7,,,,, 
6/20/2018,38, ,1,,7,,,,, 
6/21/2018,35, ,1,,7,,,,, 
6/22/2018,43, , ,,7,,,,, 
6/23/2018,46, , ,,7,,,,, 
6/24/2018,41, ,1,,7,,,,, 
6/25/2018,60, ,1,,7,,,,, 
6/26/2018,56, ,1,,7,,,,, 
6/27/2018,58, ,1,,7,,,,, 
6/28/2018,54, , ,,7,,,,, 
6/29/2018,67, , ,,7,,,,, 
6/30/2018,47, , ,,7,,,,, 
7/1/2018,53, ,1,,7,,,,, 
7/2/2018,56, ,1,,7,,,,, 
7/3/2018,72, ,1,,7,,,,, 
7/4/2018,35, ,1,,7,,,,, 
7/5/2018,60, , ,,7,,,,, 
7/6/2018,74, ,1,,7,,,,, 
7/7/2018,66, ,1,,7,,,,, 
7/8/2018,57, ,1,,7,,,,, 
7/9/2018,57, ,1,,7,,,,, 
7/10/2018,63, ,1,,7,,,,, 
7/11/2018,67, ,1,,7,,,,, 
7/12/2018,45, , ,,7,,,,,
7/13/2018,43, , ,,7,,,,,
7/14/2018,70, ,1,,7,,,,,
7/15/2018,71, ,1,,7,,,,,
7/16/2018,72, ,1,,7,,,,,
7/17/2018,64, ,1,,7,,,,,
7/18/2018,52, ,1,,7,,,,,
7/19/2018,61, ,1,,7,,,,,
7/20/2018,59, , ,,7,,,,,
7/21/2018,43, ,1,,7,,,,,
7/22/2018,48, ,1,,7,,,,,
7/23/2018,58, ,1,,7,,,,,
7/24/2018,67, ,2,,7,,,,,
7/25/2018,91, ,1,,7,,,,,
7/26/2018,81, ,1,,7,,,,,
7/27/2018,37, , ,,7,,,,,
7/28/2018,40, ,1,,7,,,,,
7/29/2018,42, ,1,,7,,,,,
7/30/2018,44, ,1,,7,,,,,
7/31/2018,38, ,1,,7,,,,,
8/1/2018,54, ,1,,7,,,,,
8/2/2018,52, ,1,,7,,,,,
8/3/2018,61, , ,,7,,,,,
8/4/2018,54, ,1,,7,,,,,
8/5/2018,59, ,1,,7,,,,,
8/6/2018,56, ,1,,7,,,,,
8/7/2018,55, , ,,7,,,,,
8/8/2018,60, , ,,7,,,,,
8/9/2018,62, , ,,7,,,,,
8/11/2018, , , ,,7,,,,,
8/12/2018,59, , ,,7,,,,,
8/13/2018,54, ,1,,7,,,,,
8/14/2018,57, ,1,,7,,,,,
8/15/2018,57, ,1,,7,,,,,
8/16/2018,53, ,1,,7,,,,,
8/17/2018,55, , ,,7,,,,,
8/18/2018,51, , ,,7,,,,,
8/19/2018,39, ,1,,7,,,,,
8/20/2018,60, ,1,,7,,,,,
8/21/2018,68, ,1,,7,,,,,
8/22/2018,64, , ,,7,,,,,
8/23/2018,64, ,1,,7,,,,,
8/24/2018,66, , ,,7,,,,,
8/25/2018,54, , ,,7,,,,,
8/26/2018,56, , ,,7,,,,,
8/27/2018,44, ,1,,7,,,,,
8/28/2018,46, ,1,,7,,,,,
8/29/2018,62, ,1,,7,,,,,
8/30/2018,61, ,1,,7,,,,,
8/31/2018,52, ,1,,7,,,,,
9/1/2018,57, ,1,,7,,,,,
9/2/2018,69, ,1,,7,,,,,
9/3/2018,60, ,1,,7,,,,,
9/4/2018,66, ,1,,7,,,,,
9/5/2018,79, ,1,,7,,,,,
9/6/2018,70, , ,,7,,,,,
9/7/2018,49, , ,,7,,,,,
9/8/2018,36, ,1,,7,,,,,
9/9/2018,46, , ,,7,,,,,
9/10/2018,45, ,1,,7,,,,,
9/11/2018,67, ,1,,7,,,,,
9/12/2018,58, ,1,,7,,,,,
9/13/2018,63, , ,,7,,,,,
9/14/2018,54, ,1,,7,,,,,
9/15/2018,44, ,1,,7,,,,,
9/16/2018,50, ,1,,7,,,,,
9/17/2018,62, ,1,,7,,,,,
9/18/2018,62, , ,,7,,,,,
9/19/2018,42, ,2,,7,,,,,
