date, pm25, pm10, no2, so2,Air_quality_Code
3/27/2017,63,23,33,1,9
3/28/2017,68,27,33,1,9
3/29/2017,81,29,35,1,9
3/30/2017,85,28,24,1,9
3/31/2017,77,25,21,1,9
4/1/2017,62,17,39,1,9
4/2/2017,44,18,30,1,9
4/3/2017,53,18,34,1,9
4/4/2017,69,48,44,1,9
4/5/2017,74,36,47,2,9
4/6/2017,80,20,27,1,9
4/7/2017,58,20,19,1,9
4/8/2017,69,21,29,1,9
4/9/2017,58,16,17,2,9
4/10/2017,50,24,19,2,9
4/11/2017,68,50,44,1,9
4/12/2017,108,42,29,1,9
4/13/2017,86,25,25,1,9
4/14/2017,65,21,25,1,9
4/15/2017,71,22,24,1,9
4/16/2017,72,18,13,1,9
4/17/2017,70,19,38,1,9
4/18/2017,67,31,31, ,9
4/19/2017,71,25,30,1,9
4/20/2017,61,32,38,2,9
4/21/2017,78,44,36,1,9
4/22/2017,87,27,25,1,9
4/23/2017,58,29,21,1,9
4/24/2017,57,37,26,1,9
4/25/2017,79,45,31,2,9
4/26/2017,86,38,32,1,9
4/27/2017,74,35,28,1,9
4/28/2017,77,39,20,1,9
4/29/2017,83,45,30,1,9
4/30/2017,85,57,35,2,9
5/1/2017,102,51,17,1,9
5/2/2017,94,54,30,2,9
5/3/2017,83,50,25,1,9
5/4/2017,88,42,25,1,9
5/5/2017,84,35,20,1,9
5/6/2017,83,44,35,2,9
5/7/2017,91,47,48,3,9
5/8/2017,96,57,55,2,9
5/9/2017,105,61,59,2,9
5/10/2017,105,33,33,1,9
5/11/2017,73,30,29,1,9
5/12/2017,67,33,21,2,9
5/13/2017,77,59,53,3,9
5/14/2017,109,126,46,2,9
5/15/2017,109,61,32,1,9
5/16/2017,69,46,38,2,9
5/17/2017,81,46,33,2,9
5/18/2017,77,32,20,1,9
5/19/2017,59,30,18,1,9
5/20/2017,54,40,40,1,9
5/21/2017,58,46,62,2,9
5/22/2017,75,43,35,1,9
5/23/2017,69,33,37,1,9
5/24/2017,66,34,32,2,9
5/25/2017,66,27,33,2,9
5/26/2017,60,38,38,2,9
5/27/2017,78,35,42,2,9
5/28/2017,65,36,25,1,9
5/29/2017,65,25,18,1,9
5/30/2017,57,15,13,1,9
5/31/2017,44,25,42,2,9
6/1/2017,55,28,37,2,9
6/2/2017,65,22,27,1,9
6/3/2017,62,28,40,1,9
6/4/2017,68,41,25,1,9
6/5/2017,77,42,24,1,9
6/6/2017,70,44,22,1,9
6/7/2017,81,48,16,1,9
6/8/2017,78,47,18,1,9
6/9/2017,82,45,15,1,9
6/10/2017,70,37,21,1,9
6/11/2017,54,38,14,1,9
6/12/2017,69,30,16,1,9
6/13/2017,64,36,13,2,9
6/14/2017,63,38,13,1,9
6/15/2017,70,65,5,1,9
6/16/2017,63,42,5,1,9
6/17/2017,68,40,15,1,9
6/18/2017,77,47,26,1,9
6/19/2017,80,33,30,1,9
6/20/2017,60,38,37,1,9
6/21/2017,60,31,31,1,9
6/22/2017,63,34,25,1,9
6/23/2017,65,29,18,1,9
6/24/2017,60,25,25,1,9
6/25/2017,65,38,26,1,9
6/26/2017,75,35,27,1,9
6/27/2017,80,23,26,1,9
6/28/2017,71,21,33,1,9
6/29/2017,68,29,33,2,9
6/30/2017,85,35,21,1,9
7/1/2017,87,42,42,1,9
7/2/2017,98,43,32,1,9
7/3/2017,98,45,31,1,9
7/4/2017,95,44,27,1,9
7/5/2017,78,36,28,1,9
7/6/2017,68,34,19, ,9
7/7/2017,69,30,16, ,9
7/8/2017,75,34,25,1,9
7/9/2017,76,38,22,1,9
7/10/2017,68,33,21,1,9
7/11/2017,66,34,26,1,9
7/12/2017,74,39,34,1,9
7/13/2017,72,39,33,1,9
7/14/2017,81,40,23,1,9
7/15/2017,83,48,37,1,9
7/16/2017,88,45,31,1,9
7/17/2017,94,35,28,1,9
7/18/2017,76,40,27,1,9
7/19/2017,70,33,27,1,9
7/20/2017,64,39,33,1,9
7/21/2017,96,93,22,1,9
7/22/2017,189,63,34,1,9
7/23/2017,131,39,27,1,9
7/24/2017,74,42,19,1,9
7/25/2017,79,38,24,1,9
7/26/2017,80,49,28,1,9
7/27/2017,88,33,21,1,9
7/28/2017,55,24,16,1,9
7/29/2017,54,29,24,1,9
7/30/2017,56,38,24,2,9
7/31/2017,70,31,27,1,9
8/1/2017,71,35,30,1,9
8/2/2017,73,41,30,1,9
8/3/2017,78,31,26,1,9
8/4/2017,64,31,17,1,9
8/5/2017,70,39,28,1,9
8/6/2017,78,47,22,1,9
8/7/2017,84,39,16,1,9
8/8/2017,70,35,18,1,9
8/9/2017,68,29,20,1,9
8/10/2017,65,41,23,1,9
8/11/2017,77,39,18,1,9
8/12/2017,84,46,29,1,9
8/13/2017,91,45,28,1,9
8/14/2017,77,37,23,1,9
8/15/2017,58,39,26,1,9
8/16/2017,72,47,31,2,9
8/17/2017,83,40,27,2,9
8/18/2017,80,29,16,3,9
8/19/2017,87,34,16,1,9
8/20/2017,67,37,26,2,9
8/21/2017,75,37,23,1,9
8/22/2017,71,37,23,1,9
8/23/2017,73,38,22,1,9
8/24/2017,77,37,20,1,9
8/25/2017,73,32,16,1,9
8/26/2017,69,36,26,1,9
8/27/2017,72,35,26,2,9
8/28/2017,69,33,25,2,9
8/29/2017,68,34,24,2,9
8/30/2017,69,32,25,1,9
8/31/2017,69,37,20,2,9
9/1/2017,72,38,13,1,9
9/2/2017,73,37,22,1,9
9/3/2017,67,34,30,1,9
9/4/2017,61,38,26,1,9
9/5/2017,72,45,26,1,9
9/6/2017,65, , , ,9
9/10/2017, ,38,34,2,9
9/11/2017,68,44,33,2,9
9/12/2017,85,55,25,1,9
9/13/2017,83,51,28,1,9
9/14/2017,71,39,28,1,9
9/15/2017,67,32,26,2,9
9/16/2017,69,39,32,2,9
9/17/2017,73,46,34,2,9
9/18/2017,83,57,37,1,9
9/19/2017,102,39,26,1,9
9/20/2017,82,42,16,1,9
9/21/2017,80,33,15,1,9
9/22/2017,57,24,13,1,9
9/23/2017,45,28,29,1,9
9/24/2017,54,40,27,1,9
9/25/2017,66,29,26,1,9
9/26/2017,59,35,29,1,9
9/27/2017,58,32,31,1,9
9/28/2017,61,38,23,1,9
9/29/2017,71,27,4,1,9
9/30/2017,61,33,26,1,9
10/1/2017,55,51,36,1,9
10/2/2017,74,33,23,1,9
10/3/2017,56,30,27,1,9
10/4/2017,61,26,9,1,9
10/5/2017,57,31,15,1,9
10/6/2017,62,27,15,1,9
10/7/2017,57,55,26,1,9
10/8/2017,98,37,20,1,9
10/9/2017,60,33,15,1,9
10/10/2017,52,30,16,1,9
10/11/2017,54,21,11,1,9
10/12/2017,50,25,16,1,9
10/13/2017,53,22,16,1,9
10/14/2017,51,38,37,1,9
10/15/2017,62,40,44,1,9
10/16/2017,70,40,37,2,9
10/17/2017,64,54,49,2,9
10/18/2017,85,80,57,2,9
10/19/2017,117,47,30,1,9
10/20/2017,80,28,23,1,9
10/21/2017,66,38,35,1,9
10/22/2017,71,38,37,1,9
10/23/2017,70,34,40,1,9
10/24/2017,70,42,35,1,9
10/25/2017,77,60,37,1,9
10/26/2017,83,64,40,2,9
10/27/2017,107,44,23,1,9
10/28/2017,67,49,39,2,9
10/29/2017,75,50,37,1,9
10/30/2017,80,38,35,1,9
10/31/2017,61,29,26,1,9
11/1/2017,58,30,32,1,9
11/2/2017,55,26,19,1,9
11/3/2017,51,23,18,1,9
11/4/2017,58,34,38,1,9
11/5/2017,67,37,33,1,9
11/6/2017,69,44,29,1,9
11/7/2017,82,42,24,1,9
11/8/2017,72,35,26,1,9
11/9/2017,56,38,30,1,9
11/10/2017,66,27,17,1,9
