Date,Temp_location_code,Temp_c
22/11/2019,4738,22.2
23/11/2019,4738,20.6
24/11/2019,4738,21.3
25/11/2019,4738,22.3
26/11/2019,4738,24.6
27/11/2019,4738,22.2
28/11/2019,4738,21.2
29/11/2019,4738,22.6
30/11/2019,4738,24.8
01/12/2019,4738,22.4
02/12/2019,4738,18.4
03/12/2019,4738,17.5
04/12/2019,4738,18.8
05/12/2019,4738,17.7
06/12/2019,4738,17.4
07/12/2019,4738,16.7
08/12/2019,4738,15.2
09/12/2019,4738,14.2
10/12/2019,4738,15.5
11/12/2019,4738,19
12/12/2019,4738,18.3
13/12/2019,4738,13.1
14/12/2019,4738,17.2
15/12/2019,4738,16.4
16/12/2019,4738,18
17/12/2019,4738,17.3
18/12/2019,4738,18.3
19/12/2019,4738,20.7
20/12/2019,4738,21.1
21/12/2019,4738,20.8
22/12/2019,4738,21.4
23/12/2019,4738,20.4
24/12/2019,4738,18.5
25/12/2019,4738,14.8
26/12/2019,4738,10.1
27/12/2019,4738,10.9
28/12/2019,4738,9.9
29/12/2019,4738,14.9
30/12/2019,4738,15.5
31/12/2019,4738,14.2
01/01/2017,1381,-
02/01/2017,1381,-
03/01/2017,1381,16
04/01/2017,1381,16
05/01/2017,1381,17.6
06/01/2017,1381,19.4
07/01/2017,1381,17
08/01/2017,1381,16.9
09/01/2017,1381,15.9
10/01/2017,1381,17.5
11/01/2017,1381,16.7
12/01/2017,1381,17.2
13/01/2017,1381,17.2
14/01/2017,1381,15.9
15/01/2017,1381,16.5
16/01/2017,1381,17.4
17/01/2017,1381,20.5
18/01/2017,1381,18.1
19/01/2017,1381,17.2
20/01/2017,1381,17
21/01/2017,1381,17
22/01/2017,1381,16.3
23/01/2017,1381,19
24/01/2017,1381,21.2
25/01/2017,1381,19.5
26/01/2017,1381,17.7
27/01/2017,1381,16.1
28/01/2017,1381,12.8
29/01/2017,1381,13.1
30/01/2017,1381,14.1
31/01/2017,1381,14
01/02/2017,1381,12.2
02/02/2017,1381,13.7
03/02/2017,1381,15.1
04/02/2017,1381,18.5
05/02/2017,1381,17
06/02/2017,1381,16.8
07/02/2017,1381,23.3
08/02/2017,1381,20.1
09/02/2017,1381,17.7
10/02/2017,1381,20.7
11/02/2017,1381,17.3
12/02/2017,1381,16.6
13/02/2017,1381,15
14/02/2017,1381,14.3
15/02/2017,1381,14.1
16/02/2017,1381,13.6
17/02/2017,1381,13.6
18/02/2017,1381,15.6
19/02/2017,1381,18.8
20/02/2017,1381,19
21/02/2017,1381,16.1
22/02/2017,1381,16.4
23/02/2017,1381,17
24/02/2017,1381,17
25/02/2017,1381,18.4
26/02/2017,1381,18.2
27/02/2017,1381,18.3
28/02/2017,1381,22.3
01/03/2017,1381,24.3
02/03/2017,1381,18
03/03/2017,1381,17.4
04/03/2017,1381,16.9
05/03/2017,1381,17.2
06/03/2017,1381,24.2
07/03/2017,1381,17.8
08/03/2017,1381,17.5
09/03/2017,1381,29.5
10/03/2017,1381,22.6
11/03/2017,1381,18.5
12/03/2017,1381,24
13/03/2017,1381,18.2
14/03/2017,1381,17.2
15/03/2017,1381,16.8
16/03/2017,1381,16.9
17/03/2017,1381,16.9
18/03/2017,1381,17.9
19/03/2017,1381,16.9
20/03/2017,1381,18
21/03/2017,1381,17.7
22/03/2017,1381,18.5
23/03/2017,1381,18.8
24/03/2017,1381,18.4
25/03/2017,1381,18.2
26/03/2017,1381,18.1
27/03/2017,1381,17.8
28/03/2017,1381,18.2
29/03/2017,1381,19
30/03/2017,1381,28.3
31/03/2017,1381,19
01/04/2017,1381,19
02/04/2017,1381,18.3
03/04/2017,1381,18.4
04/04/2017,1381,27.3
05/04/2017,1381,32.5
06/04/2017,1381,24.7
07/04/2017,1381,19.3
08/04/2017,1381,18.7
09/04/2017,1381,18.4
10/04/2017,1381,19.3
11/04/2017,1381,19.4
12/04/2017,1381,29.6
13/04/2017,1381,28.3
14/04/2017,1381,19.1
15/04/2017,1381,19.3
16/04/2017,1381,19
17/04/2017,1381,19.2
18/04/2017,1381,20.2
19/04/2017,1381,19.6
20/04/2017,1381,20
21/04/2017,1381,23.3
22/04/2017,1381,37.2
23/04/2017,1381,22.7
24/04/2017,1381,18.6
25/04/2017,1381,19.1
26/04/2017,1381,19.8
27/04/2017,1381,20.5
28/04/2017,1381,20.2
29/04/2017,1381,20.5
30/04/2017,1381,20.9
01/05/2017,1381,21.8
02/05/2017,1381,20.7
03/05/2017,1381,20.7
04/05/2017,1381,21
05/05/2017,1381,21.2
06/05/2017,1381,21.6
07/05/2017,1381,21.9
08/05/2017,1381,23
09/05/2017,1381,36.7
10/05/2017,1381,24.3
11/05/2017,1381,23.6
12/05/2017,1381,22.3
13/05/2017,1381,23.2
14/05/2017,1381,25.2
15/05/2017,1381,24.3
16/05/2017,1381,-
17/05/2017,1381,23.5
18/05/2017,1381,26.5
19/05/2017,1381,24.4
20/05/2017,1381,22.6
21/05/2017,1381,22.5
22/05/2017,1381,25.5
23/05/2017,1381,26.2
24/05/2017,1381,22.6
25/05/2017,1381,22.6
26/05/2017,1381,22.5
27/05/2017,1381,26.2
28/05/2017,1381,25.2
29/05/2017,1381,24
30/05/2017,1381,23.6
31/05/2017,1381,23.2
01/06/2017,1381,23.4
02/06/2017,1381,23.9
03/06/2017,1381,24
04/06/2017,1381,24.5
05/06/2017,1381,24.7
06/06/2017,1381,-
07/06/2017,1381,25.1
08/06/2017,1381,25.5
09/06/2017,1381,26.1
10/06/2017,1381,25.3
11/06/2017,1381,24.7
12/06/2017,1381,24.8
13/06/2017,1381,24.9
14/06/2017,1381,26.3
15/06/2017,1381,25.2
16/06/2017,1381,25.8
17/06/2017,1381,25.9
18/06/2017,1381,26.2
19/06/2017,1381,26.4
20/06/2017,1381,25.5
21/06/2017,1381,25.9
22/06/2017,1381,26
23/06/2017,1381,26
24/06/2017,1381,26.4
25/06/2017,1381,26.9
26/06/2017,1381,26.9
27/06/2017,1381,27.4
28/06/2017,1381,27
29/06/2017,1381,27.3
30/06/2017,1381,27.9
01/07/2017,1381,28.1
02/07/2017,1381,28.2
03/07/2017,1381,29.4
04/07/2017,1381,28.8
05/07/2017,1381,28.5
06/07/2017,1381,27.9
07/07/2017,1381,28.1
08/07/2017,1381,28.3
09/07/2017,1381,28.7
10/07/2017,1381,28.9
11/07/2017,1381,29
12/07/2017,1381,28.9
13/07/2017,1381,29.3
14/07/2017,1381,28.8
15/07/2017,1381,28.7
16/07/2017,1381,29
17/07/2017,1381,28.8
18/07/2017,1381,28.9
19/07/2017,1381,29.2
20/07/2017,1381,28.6
21/07/2017,1381,28.2
22/07/2017,1381,28.6
23/07/2017,1381,28.6
24/07/2017,1381,28.9
25/07/2017,1381,29.3
26/07/2017,1381,29.7
27/07/2017,1381,29.8
28/07/2017,1381,29.3
29/07/2017,1381,28.5
30/07/2017,1381,28.2
31/07/2017,1381,29
01/08/2017,1381,29.5
02/08/2017,1381,29.3
03/08/2017,1381,29
04/08/2017,1381,28.7
05/08/2017,1381,28.9
06/08/2017,1381,29.1
07/08/2017,1381,29.3
08/08/2017,1381,28.9
09/08/2017,1381,29.2
10/08/2017,1381,29.1
11/08/2017,1381,29.4
12/08/2017,1381,29.4
13/08/2017,1381,29.8
14/08/2017,1381,29.8
15/08/2017,1381,29.2
16/08/2017,1381,28.9
17/08/2017,1381,29.4
18/08/2017,1381,29.5
19/08/2017,1381,29
20/08/2017,1381,29
21/08/2017,1381,29
22/08/2017,1381,28.6
23/08/2017,1381,29.3
24/08/2017,1381,29.3
25/08/2017,1381,29
26/08/2017,1381,29.5
27/08/2017,1381,29.7
28/08/2017,1381,29
29/08/2017,1381,28.2
30/08/2017,1381,28
31/08/2017,1381,28.4
01/09/2017,1381,28.4
02/09/2017,1381,28.7
03/09/2017,1381,29.2
04/09/2017,1381,29.1
05/09/2017,1381,28.9
06/09/2017,1381,28.4
07/09/2017,1381,27.8
08/09/2017,1381,29
09/09/2017,1381,28.9
10/09/2017,1381,28.2
11/09/2017,1381,28.3
12/09/2017,1381,28.8
13/09/2017,1381,28.5
14/09/2017,1381,28.4
15/09/2017,1381,28.6
16/09/2017,1381,28.2
17/09/2017,1381,27.9
18/09/2017,1381,27.5
19/09/2017,1381,27.9
20/09/2017,1381,27.6
21/09/2017,1381,28.7
22/09/2017,1381,27.5
23/09/2017,1381,26.5
24/09/2017,1381,26.5
25/09/2017,1381,27.3
