date, pm25, pm10, no2, so2,Air_quality_Code
3/14/2018,54,25,11, ,3
3/15/2018,56,14,5, ,3
3/16/2018,34,14,5, ,3
3/17/2018,37,44,10, ,3
3/18/2018,51,36,7, ,3
3/19/2018,53,43,10, ,3
3/20/2018,78,48,11, ,3
3/21/2018,73,58,13, ,3
3/22/2018,86,63,5, ,3
3/23/2018,104,39,2, ,3
3/24/2018,89,20,7, ,3
3/25/2018,27,67,11, ,3
3/26/2018,73,83,14, ,3
3/27/2018,99,88,6, ,3
3/28/2018,83,93,3, ,3
3/29/2018,71,19,2, ,3
3/30/2018,39,20,2, ,3
3/31/2018,37,45,10, ,3
4/1/2018,74,39,4, ,3
4/2/2018,77,27,4, ,3
4/3/2018,52,43,7, ,3
4/4/2018,62,52,4, ,3
4/5/2018,63,37,2, ,3
4/6/2018,64,36,2, ,3
4/7/2018,66,33,3, ,3
4/8/2018,49,29,7, ,3
4/9/2018,50,25,4, ,3
4/10/2018,47,26,6, ,3
4/11/2018,49,34,9, ,3
4/12/2018,55,40,8, ,3
4/13/2018,58,32,4, ,3
4/14/2018,54,36,4, ,3
4/15/2018,53,48,9, ,3
4/16/2018,67,54,9, ,3
4/17/2018,62,67,9, ,3
4/18/2018,76,37,2, ,3
4/19/2018,64,45,3, ,3
4/20/2018,72,33,1, ,3
4/21/2018,49,20,3, ,3
4/22/2018,33,22,6, ,3
4/23/2018,43,36,6, ,3
4/24/2018,61,20,3, ,3
4/25/2018,50,32,4, ,3
4/26/2018,60,41,3, ,3
4/27/2018,70,38,4, ,3
4/28/2018,66,41,8, ,3
4/29/2018,68,43,3, ,3
4/30/2018,55,93,4, ,3
5/1/2018,71,73,6, ,3
5/2/2018,88,74,9, ,3
5/3/2018,91,103,4, ,3
5/4/2018,104,67,2, ,3
5/5/2018,77,66,10, ,3
5/6/2018,80,55,1, ,3
5/7/2018,65,43,3, ,3
5/8/2018,50,23,3, ,3
5/9/2018,43,253,6, ,3
5/10/2018,114,35,2, ,3
5/11/2018,63,24,1, ,3
5/12/2018,51,23,2, ,3
5/13/2018,44,30,4, ,3
5/14/2018,50,34,3, ,3
5/15/2018,58,38,6, ,3
5/16/2018,65,49,7, ,3
5/17/2018,67,70,3, ,3
5/18/2018,61,55,2, ,3
5/19/2018,69,32,2, ,3
5/20/2018,61,46,8, ,3
5/21/2018,67,83,14, ,3
5/22/2018,88,64,6, ,3
5/23/2018,81,50,4, ,3
5/24/2018,70,67,6, ,3
5/25/2018,82,52,3, ,3
5/26/2018,67,41,6, ,3
5/27/2018,64,41,5, ,3
5/28/2018,67,33,3, ,3
5/29/2018,59,31,3, ,3
5/30/2018,60,29,2, ,3
5/31/2018,52,33,3, ,3
6/1/2018,55,26,1, ,3
6/2/2018,52,29,4, ,3
6/3/2018,54,29,3, ,3
6/4/2018,56,29,3, ,3
6/5/2018,52,34,5, ,3
6/6/2018,53,34,3, ,3
6/7/2018,60,36,2, ,3
6/8/2018,64,34,2, ,3
6/9/2018,59,49,4, ,3
6/10/2018,74,31,3, ,3
6/11/2018,47,26,2, ,3
6/12/2018,41,27,3, ,3
6/13/2018,59,33,6, ,3
6/14/2018,61,30,5, ,3
6/15/2018,60,46,2, ,3
6/16/2018,61,34,4, ,3
6/17/2018,50,21,4, ,3
6/18/2018,36,21,4, ,3
6/19/2018,33,22,6, ,3
6/20/2018,43,19,5, ,3
6/21/2018,36,26,6, ,3
6/22/2018,40,22,4, ,3
6/23/2018,48,25,4, ,3
6/24/2018,49,27,3, ,3
6/25/2018,49,30,4, ,3
6/26/2018,58,36,10, ,3
6/27/2018,74,33,5, ,3
6/28/2018,59,21,2, ,3
6/29/2018,44,19,2, ,3
6/30/2018,40,18,3, ,3
7/1/2018,33,25,2, ,3
7/2/2018,43,22,3, ,3
7/3/2018,44,24,4, ,3
7/4/2018,45,36,4, ,3
7/5/2018,66,39,1, ,3
7/6/2018,69,35,4, ,3
7/7/2018,66,36,5, ,3
7/8/2018,68,39,4, ,3
7/9/2018,66,32,3, ,3
7/10/2018,59,28,3, ,3
7/11/2018,54,26,3, ,3
7/12/2018,53,28,2, ,3
7/13/2018,57,38,1, ,3
7/14/2018,68,48,5, ,3
7/15/2018,75,49,6, ,3
7/16/2018,82,43,3, ,3
7/17/2018,72,39,5, ,3
7/18/2018,70,42,4, ,3
7/19/2018,68,30,1, ,3
7/20/2018,57,23,1, ,3
7/21/2018,51,30,2, ,3
7/22/2018,60,37,3, ,3
7/23/2018,68,39,6, ,3
7/24/2018,66,203,5, ,3
7/25/2018,98, ,3, ,3
7/26/2018,49, ,2, ,3
7/27/2018,47, ,1, ,3
7/28/2018,43, ,2, ,3
7/29/2018,52, ,4, ,3
7/30/2018,72, ,4, ,3
7/31/2018, ,21,4, ,3
8/1/2018,29,19,2, ,3
8/2/2018,35,27,1, ,3
8/3/2018,50,26,1, ,3
8/4/2018,46,31,4, ,3
8/5/2018,42,23,4, ,3
8/6/2018,32,25,3, ,3
8/7/2018,38,26,2, ,3
8/8/2018,44,27,2, ,3
8/9/2018,41,23,2, ,3
8/10/2018,35,23,2, ,3
8/11/2018,39,31,4, ,3
8/12/2018,48,27,2, ,3
8/13/2018,34,24,2, ,3
8/14/2018,35,30,4, ,3
8/15/2018,39,35,7, ,3
8/16/2018,46,21,2, ,3
8/17/2018,34,18,1, ,3
8/18/2018,31,24,4, ,3
8/19/2018,34,68,5, ,3
8/20/2018,118,48,3, ,3
8/21/2018,59,35,6, ,3
8/22/2018,70,28,3, ,3
8/23/2018,45,26,2, ,3
8/24/2018,37,18,2, ,3
8/25/2018,25,20,2, ,3
8/26/2018,21,14,2, ,3
8/27/2018,18,21,4, ,3
8/28/2018,28,19,6, ,3
8/29/2018,21,5,3, ,3
8/30/2018,24,6,3, ,3
8/31/2018,25,7,2, ,3
9/1/2018,34,12,4, ,3
9/2/2018,51,33,5, ,3
9/3/2018,62,36,5, ,3
9/4/2018,66,36,6, ,3
9/5/2018,47,36,5, ,3
9/6/2018,49,20,2, ,3
9/7/2018,28,16,1, ,3
9/8/2018,26,18,2, ,3
9/9/2018,34,23,1, ,3
9/10/2018,47,28,2, ,3
9/11/2018,59,30,5, ,3
9/12/2018,58,30,5, ,3
9/13/2018,55,23,3, ,3
9/14/2018,50,25,2, ,3
9/15/2018,55,33,6, ,3
9/16/2018,60,36,6, ,3
9/17/2018,70,26,4, ,3
9/18/2018,55,26,2, ,3
9/19/2018,52,32,6, ,3
9/20/2018,59,30,5, ,3
9/21/2018,53,31,3, ,3
9/22/2018,62,33,5, ,3
9/23/2018,50, , , ,3
9/26/2018, ,31,5, ,3
9/27/2018,49,39,6, ,3
9/28/2018,59,38,5, ,3
9/29/2018,53,33,5, ,3
9/30/2018,43,21,3, ,3
10/1/2018,29,28,6, ,3
10/2/2018,39,30,7, ,3
10/3/2018,43,24,6, ,3
10/4/2018,37,19,4, ,3
10/5/2018,42,27,3, ,3
