date,Air_quality_Code, pm25, pm10, no2, so2
4/3/2018,3,52,43,7, 
4/4/2018,3,62,52,4, 
4/5/2018,3,63,37,2, 
4/6/2018,3,64,36,2, 
4/7/2018,3,66,33,3, 
4/8/2018,3,49,29,7, 
4/9/2018,3,50,25,4, 
4/10/2018,3,47,26,6, 
4/11/2018,3,49,34,9, 
4/12/2018,3,55,40,8, 
4/13/2018,3,58,32,4, 
4/14/2018,3,54,36,4, 
4/15/2018,3,53,48,9, 
4/16/2018,3,67,54,9, 
4/17/2018,3,62,67,9, 
4/18/2018,3,76,37,2, 
4/19/2018,3,64,45,3, 
4/20/2018,3,72,33,1, 
4/21/2018,3,49,20,3, 
4/22/2018,3,33,22,6, 
4/23/2018,3,43,36,6, 
4/24/2018,3,61,20,3, 
4/25/2018,3,50,32,4, 
4/26/2018,3,60,41,3, 
4/27/2018,3,70,38,4, 
4/28/2018,3,66,41,8, 
4/29/2018,3,68,43,3, 
4/30/2018,3,55,93,4, 
5/1/2018,3,71,73,6, 
5/2/2018,3,88,74,9, 
5/3/2018,3,91,103,4, 
5/4/2018,3,104,67,2, 
5/5/2018,3,77,66,10, 
5/6/2018,3,80,55,1, 
5/7/2018,3,65,43,3, 
5/8/2018,3,50,23,3, 
5/9/2018,3,43,253,6, 
5/10/2018,3,114,35,2, 
5/11/2018,3,63,24,1, 
5/12/2018,3,51,23,2, 
5/13/2018,3,44,30,4, 
5/14/2018,3,50,34,3, 
5/15/2018,3,58,38,6, 
5/16/2018,3,65,49,7, 
5/17/2018,3,67,70,3, 
5/18/2018,3,61,55,2, 
5/19/2018,3,69,32,2, 
5/20/2018,3,61,46,8, 
5/21/2018,3,67,83,14, 
5/22/2018,3,88,64,6, 
5/23/2018,3,81,50,4, 
5/24/2018,3,70,67,6, 
5/25/2018,3,82,52,3, 
5/26/2018,3,67,41,6, 
5/27/2018,3,64,41,5, 
5/28/2018,3,67,33,3, 
5/29/2018,3,59,31,3, 
5/30/2018,3,60,29,2, 
5/31/2018,3,52,33,3, 
6/1/2018,3,55,26,1, 
6/2/2018,3,52,29,4, 
6/3/2018,3,54,29,3, 
6/4/2018,3,56,29,3, 
6/5/2018,3,52,34,5, 
6/6/2018,3,53,34,3, 
6/7/2018,3,60,36,2, 
6/8/2018,3,64,34,2, 
6/9/2018,3,59,49,4, 
6/10/2018,3,74,31,3, 
6/11/2018,3,47,26,2, 
6/12/2018,3,41,27,3, 
6/13/2018,3,59,33,6, 
6/14/2018,3,61,30,5, 
6/15/2018,3,60,46,2, 
6/16/2018,3,61,34,4, 
6/17/2018,3,50,21,4, 
6/18/2018,3,36,21,4, 
6/19/2018,3,33,22,6, 
6/20/2018,3,43,19,5, 
6/21/2018,3,36,26,6, 
6/22/2018,3,40,22,4, 
6/23/2018,3,48,25,4, 
6/24/2018,3,49,27,3, 
6/25/2018,3,49,30,4, 
6/26/2018,3,58,36,10, 
6/27/2018,3,74,33,5, 
6/28/2018,3,59,21,2, 
6/29/2018,3,44,19,2, 
6/30/2018,3,40,18,3, 
7/1/2018,3,33,25,2, 
7/2/2018,3,43,22,3, 
7/3/2018,3,44,24,4, 
7/4/2018,3,45,36,4, 
7/5/2018,3,66,39,1, 
7/6/2018,3,69,35,4, 
7/7/2018,3,66,36,5, 
7/8/2018,3,68,39,4, 
7/9/2018,3,66,32,3, 
7/10/2018,3,59,28,3, 
7/11/2018,3,54,26,3, 
7/12/2018,3,53,28,2, 
7/13/2018,3,57,38,1, 
7/14/2018,3,68,48,5, 
7/15/2018,3,75,49,6, 
7/16/2018,3,82,43,3, 
7/17/2018,3,72,39,5, 
7/18/2018,3,70,42,4, 
7/19/2018,3,68,30,1, 
7/20/2018,3,57,23,1, 
7/21/2018,3,51,30,2, 
7/22/2018,3,60,37,3, 
7/23/2018,3,68,39,6, 
7/24/2018,3,66,203,5, 
7/25/2018,3,98, ,3, 
7/26/2018,3,49, ,2, 
7/27/2018,3,47, ,1, 
7/28/2018,3,43, ,2, 
7/29/2018,3,52, ,4, 
7/30/2018,3,72, ,4, 
7/31/2018,3, ,21,4, 
8/1/2018,3,29,19,2, 
8/2/2018,3,35,27,1, 
8/3/2018,3,50,26,1, 
8/4/2018,3,46,31,4, 
8/5/2018,3,42,23,4, 
8/6/2018,3,32,25,3, 
8/7/2018,3,38,26,2, 
8/8/2018,3,44,27,2, 
8/9/2018,3,41,23,2, 
8/10/2018,3,35,23,2, 
8/11/2018,3,39,31,4, 
8/12/2018,3,48,27,2, 
8/13/2018,3,34,24,2, 
8/14/2018,3,35,30,4, 
8/15/2018,3,39,35,7, 
8/16/2018,3,46,21,2, 
8/17/2018,3,34,18,1, 
8/18/2018,3,31,24,4, 
8/19/2018,3,34,68,5, 
8/20/2018,3,118,48,3, 
8/21/2018,3,59,35,6, 
8/22/2018,3,70,28,3, 
8/23/2018,3,45,26,2, 
8/24/2018,3,37,18,2, 
8/25/2018,3,25,20,2, 
8/26/2018,3,21,14,2, 
8/27/2018,3,18,21,4, 
8/28/2018,3,28,19,6, 
8/29/2018,3,21,5,3, 
8/30/2018,3,24,6,3, 
8/31/2018,3,25,7,2, 
9/1/2018,3,34,12,4, 
9/2/2018,3,51,33,5, 
9/3/2018,3,62,36,5, 
9/4/2018,3,66,36,6, 
9/5/2018,3,47,36,5, 
9/6/2018,3,49,20,2, 
9/7/2018,3,28,16,1, 
9/8/2018,3,26,18,2, 
9/9/2018,3,34,23,1, 
9/10/2018,3,47,28,2, 
9/11/2018,3,59,30,5, 
9/12/2018,3,58,30,5, 
9/13/2018,3,55,23,3, 
9/14/2018,3,50,25,2, 
9/15/2018,3,55,33,6, 
9/16/2018,3,60,36,6, 
9/17/2018,3,70,26,4, 
9/18/2018,3,55,26,2, 
9/19/2018,3,52,32,6, 
9/20/2018,3,59,30,5, 
9/21/2018,3,53,31,3, 
9/22/2018,3,62,33,5, 
9/23/2018,3,50, , , 
9/26/2018,3, ,31,5, 
9/27/2018,3,49,39,6, 
9/28/2018,3,59,38,5, 
9/29/2018,3,53,33,5, 
9/30/2018,3,43,21,3, 
10/1/2018,3,29,28,6, 
10/2/2018,3,39,30,7, 
10/3/2018,3,43,24,6, 
10/4/2018,3,37,19,4, 
10/5/2018,3,42,27,3, 
10/6/2018,3,54,30,8, 
10/7/2018,3,51,31,7, 
10/8/2018,3,53,30,7, 
10/9/2018,3,45,27,7, 
10/10/2018,3,43,29,9, 
10/11/2018,3,45,21,6, 
10/12/2018,3,37,22,3, 
10/13/2018,3,40,33,7, 
10/14/2018,3,36,28,8, 
10/15/2018,3,29,23,9, 
10/16/2018,3,29,22,4, 
10/17/2018,3,31,45,7, 
10/18/2018,3,41,72,4, 
10/19/2018,3,52,54,5, 
10/20/2018,3,46,44,6, 
10/21/2018,3,36,84,8, 
10/22/2018,3,57,70,9, 
10/23/2018,3,60,75,11, 
10/24/2018,3,68,176,5, 
10/25/2018,3,91,18,3, 
10/26/2018,3,16,12,6, 
10/27/2018,3,14,44,6, 
10/28/2018,3,30,61,6, 
10/29/2018,3,49,79,4, 
10/30/2018,3,71,55,6, 
10/31/2018,3,49,65,7, 
11/1/2018,3,46,38,3, 
11/2/2018,3,58,28,3, 
11/3/2018,3,38,42,6, 
11/4/2018,3,45,21,7, 
11/5/2018,3,32,26,8, 
11/6/2018,3,55,33,11, 
11/7/2018,3,69,39,14, 
11/8/2018,3,80,42,10, 
11/9/2018,3,88,21,5, 
11/10/2018,3,46,33,10, 
11/11/2018,3,62,29,9, 
11/12/2018,3,61,33,13, 
11/13/2018,3,59,31,12, 
11/14/2018,3,62,25,11, 
11/15/2018,3,53,20,3, 
11/16/2018,3,37,26,5, 
11/17/2018,3,47,36,12, 
11/18/2018,3,56,37,10, 
11/19/2018,3,59,44,11, 
11/20/2018,3,75,45,10, 
11/21/2018,3,76,41,12, 
11/22/2018,3,57,17,6, 
11/23/2018,3,30,19,6, 
11/24/2018,3,31,21,11, 
11/25/2018,3,41,29,13, 
11/26/2018,3,48,31,13, 
11/27/2018,3,52,34,12, 
11/28/2018,3,46,44,18, 
11/29/2018,3,64,36,7, 
11/30/2018,3,64,28,5, 
12/1/2018,3,32,37,14, 
12/2/2018,3,44,44,14, 
12/3/2018,3,54,35,11, 
12/4/2018,3,52, ,4, 
12/5/2018,3,34,36,3, 
12/6/2018,3,46,34,2, 
12/7/2018,3,45,16,4, 
12/8/2018,3,37,31,13, 
12/9/2018,3,60,29,11, 
12/10/2018,3,60,28,12, 
12/11/2018,3,44,27,4, 
12/12/2018,3,30,9,6, 
12/13/2018,3,18,26,12, 
12/14/2018,3,54,25,3, 
12/15/2018,3,35,57,15, 
12/16/2018,3,74,56,8, 
12/17/2018,3,64,31,12, 
12/18/2018,3,41,39,9, 
12/19/2018,3,53,30,4, 
12/20/2018,3,28,13,7, 
12/21/2018,3,36,13,7, 
12/22/2018,3,39,26,12, 
12/23/2018,3,65,26,14, 
12/24/2018,3,66,30,16, 
12/25/2018,3,70,23,11, 
12/26/2018,3,51,34,2, 
12/27/2018,3,41,18,4, 
12/28/2018,3,38,16,5, 
12/29/2018,3,42,16,7, 
12/30/2018,3,51, , , 
12/31/2018,3, ,18,12, 
1/1/2019,3,37,23,8, 
1/2/2019,3,52,69,9, 
1/3/2019,3,64,29,8, 
1/4/2019,3,45,32,10, 
1/5/2019,3,67,256,4, 
1/6/2019,3,115,56,3, 
1/7/2019,3,89,23,2, 
1/8/2019,3,12,2,7, 
1/9/2019,3,13,3,10, 
1/10/2019,3,16,4,6, 
1/11/2019,3,9,6,5, 
1/12/2019,3,14,7,3, 
1/13/2019,3,7,155,3, 
1/14/2019,3,164,82,4, 
1/15/2019,3,155,291,2, 
1/16/2019,3,187,57,3, 
1/17/2019,3,127,40,5, 
1/18/2019,3,113,44,7, 
1/19/2019,3,124,49,13, 
1/20/2019,3,115,69,9, 
1/21/2019,3,135,120,12, 
1/22/2019,3,167,69,10, 
1/23/2019,3,89,73,8, 
1/24/2019,3,76,82,5, 
1/25/2019,3,92,60,5, 
1/26/2019,3,77,109,12, 
1/27/2019,3,126,62,6, 
1/28/2019,3,67,33,9, 
1/29/2019,3,47,46,11, 
1/30/2019,3,55,68,13, 
1/31/2019,3,85,57,8, 
2/1/2019,3,74,46,5, 
2/2/2019,3,65,42,13, 
2/3/2019,3,59,61,6, 
2/4/2019,3,53,103,4, 
2/5/2019,3,81,70,6, 
2/6/2019,3,92,37,7, 
2/7/2019,3,53,40,7, 
2/8/2019,3,55,25,6, 
2/9/2019,3,41,14,11, 
2/10/2019,3,36,18,8, 
2/11/2019,3,34,24,9, 
2/12/2019,3,43,28,10, 
2/13/2019,3,40,77,4, 
2/14/2019,3,72,106,2, 
2/15/2019,3,113,23,5, 
2/16/2019,3,35,27,10, 
2/17/2019,3,40,18,5, 
2/18/2019,3,25,22,8, 
2/19/2019,3,42,24,10, 
2/20/2019,3,52,27,12, 
2/21/2019,3,53,26,9, 
2/22/2019,3,52,20,6, 
2/23/2019,3,47,36,12, 
2/24/2019,3,69,60,8, 
2/25/2019,3,64,66,6, 
