date,Air_quality_Code, pm25, pm10, no2, so2
3/17/2018,8,56, ,22,3
3/18/2018,8,96, ,20,2
3/19/2018,8,108, ,9, 
3/20/2018,8,131, ,14,1
3/21/2018,8,119, ,17,4
3/22/2018,8,114, ,21,2
3/23/2018,8,119, ,8, 
3/24/2018,8,146, ,9, 
3/25/2018,8,74, ,19,3
3/26/2018,8,127, ,11,2
3/27/2018,8,125, ,13,1
3/28/2018,8,112, ,1, 
3/29/2018,8,99, ,3, 
3/30/2018,8,80, ,4, 
3/31/2018,8,73, ,12,2
4/1/2018,8,94, ,12,1
4/2/2018,8,93, ,9, 
4/3/2018,8,86, ,9,2
4/4/2018,8,88, ,12,2
4/5/2018,8,94, ,4, 
4/6/2018,8,96, ,4,1
4/7/2018,8,86, ,5, 
4/8/2018,8,75, ,8, 
4/9/2018,8,81, ,6, 
4/10/2018,8,72, ,6, 
4/11/2018,8,80, ,10,2
4/12/2018,8,82, ,8,1
4/13/2018,8,92, ,5,1
4/14/2018,8,81, ,9, 
4/15/2018,8,96, ,9,1
4/16/2018,8,103, ,17,1
4/17/2018,8,117, ,16,2
4/18/2018,8,121, ,7, 
4/19/2018,8,96, ,3, 
4/20/2018,8,117, , , 
4/21/2018,8,91, ,6, 
4/22/2018,8,75, ,10,1
4/23/2018,8,77, ,12,2
4/24/2018,8,87, ,12, 
4/25/2018,8,82, ,9, 
4/26/2018,8,96, ,10, 
4/27/2018,8,85, ,4, 
4/28/2018,8,93, ,6,1
4/29/2018,8,117, ,7,1
4/30/2018,8,76, ,11,1
5/1/2018,8,110, ,11,1
5/2/2018,8,109, ,20,2
5/3/2018,8,150, ,13,2
5/4/2018,8,152, ,11, 
5/5/2018,8,126, ,7,1
5/6/2018,8,98, ,9,1
5/7/2018,8,105, ,2,1
5/8/2018,8,82, ,4, 
5/9/2018,8,72, ,14,1
5/10/2018,8,98, ,5, 
5/11/2018,8,82, , , 
5/12/2018,8,71, ,1,3
5/13/2018,8,70, ,5,3
5/14/2018,8,76, ,4, 
5/15/2018,8,77, ,6,1
5/16/2018,8,82, ,14,4
5/17/2018,8,102, ,10,2
5/18/2018,8,81, , , 
5/20/2018,8, , ,6,1
5/21/2018,8,85, ,22,3
5/22/2018,8,130, ,12,1
5/23/2018,8,100, ,3, 
5/24/2018,8,105, ,9, 
5/25/2018,8,96, ,4, 
5/26/2018,8,82, ,5, 
5/27/2018,8,84, ,4,1
5/28/2018,8,80, ,3, 
5/29/2018,8,72,24,3, 
5/30/2018,8,81,23,3, 
5/31/2018,8,79,23,4, 
6/1/2018,8,79,19,2, 
6/2/2018,8,70,24,3, 
6/3/2018,8,80,25,4, 
6/4/2018,8,76, ,4, 
6/5/2018,8,76, ,9,1
6/6/2018,8,75, ,3, 
6/7/2018,8,88, ,4, 
6/8/2018,8,84, ,2, 
6/9/2018,8,92, ,3, 
6/10/2018,8,101, ,3, 
