date,Air_quality_Code, pm25, pm10, no2, so2
4/12/2018,2, ,28,11,1
4/13/2018,2, ,31,5,1
4/14/2018,2, ,27,7,2
4/15/2018,2, ,34,10,1
4/16/2018,2, ,38,10,1
4/17/2018,2, ,33,12,1
4/18/2018,2, ,51,3, 
4/19/2018,2, ,39,3, 
4/20/2018,2, ,54,2,1
4/21/2018,2, ,45,5, 
4/22/2018,2, ,28,7, 
4/23/2018,2, ,25,7, 
4/24/2018,2, ,27,8, 
4/25/2018,2, ,28,6, 
4/26/2018,2, ,37,6, 
4/27/2018,2, ,35,5, 
4/28/2018,2, ,37,8, 
4/29/2018,2, ,36,18,1
4/30/2018,2, ,49,7, 
5/1/2018,2, ,73,16,1
5/2/2018,2, ,73,24,2
5/3/2018,2, ,88,18,2
5/4/2018,2, ,95,2, 
5/5/2018,2, ,68,12,1
5/6/2018,2, ,59,3, 
5/7/2018,2, ,49,4,1
5/8/2018,2, ,38,6, 
5/9/2018,2, ,26,12, 
5/10/2018,2, ,54,3, 
5/11/2018,2, ,29,1, 
5/12/2018,2, ,24,3, 
5/13/2018,2, ,28,6,1
5/14/2018,2, ,27,6, 
5/15/2018,2, ,30,9, 
5/16/2018,2, ,26,14,3
5/17/2018,2, ,39,23,1
5/18/2018,2, ,51,4,1
5/19/2018,2, ,41,4, 
5/20/2018,2, ,32,10,3
5/21/2018,2, ,34,27,3
5/22/2018,2, ,71,7, 
5/23/2018,2, ,64,6, 
5/24/2018,2, ,50,8, 
5/25/2018,2, ,58,2, 
5/26/2018,2, ,43,6, 
5/27/2018,2, ,38,5, 
5/28/2018,2, ,34,4, 
5/29/2018,2, ,27,4, 
5/30/2018,2, ,35,5, 
5/31/2018,2, ,36,4, 
6/1/2018,2, ,31,2, 
6/2/2018,2, ,26,5, 
6/3/2018,2, ,28,6, 
6/4/2018,2, ,28,7, 
6/5/2018,2, ,27,6, 
6/6/2018,2, ,27,5, 
6/7/2018,2, ,33,3, 
6/8/2018,2, ,33,2, 
6/9/2018,2, ,44,4, 
6/10/2018,2, ,49,4, 
6/11/2018,2, ,35,3, 
6/12/2018,2, ,33,4, 
6/13/2018,2, ,32,6, 
6/14/2018,2, ,32,7, 
6/15/2018,2, ,31,4, 
6/16/2018,2, ,37,4, 
6/17/2018,2, ,71,5, 
6/18/2018,2, ,20,5, 
6/19/2018,2, ,22,5, 
6/20/2018,2, ,15,6, 
6/21/2018,2, ,16,7, 
6/22/2018,2, ,17,4, 
6/23/2018,2, ,18,5, 
6/24/2018,2, ,26,5, 
6/25/2018,2, ,36,3, 
6/26/2018,2, ,40,10, 
6/27/2018,2, ,37,6, 
6/28/2018,2, ,32,2, 
6/29/2018,2, ,19,2, 
6/30/2018,2, ,19,4, 
7/1/2018,2, ,23,4, 
7/2/2018,2, ,22,6, 
7/3/2018,2, ,20,6, 
7/4/2018,2, ,30,6, 
7/5/2018,2, ,36,5, 
7/6/2018,2, ,42,4, 
7/7/2018,2, ,45,3, 
7/8/2018,2, ,38,6, 
7/9/2018,2, ,38,6, 
7/10/2018,2, ,41,5, 
7/11/2018,2, ,37,5, 
7/12/2018,2, ,41,4, 
7/13/2018,2, ,56,3, 
7/14/2018,2, ,50,1, 
7/15/2018,2, ,55,6, 
7/16/2018,2, ,59,4, 
7/17/2018,2, ,43,5, 
7/18/2018,2, ,46,7, 
7/19/2018,2, ,48,5, 
7/20/2018,2, ,33,3, 
7/21/2018,2, ,28,2, 
7/22/2018,2, ,39,4, 
7/23/2018,2, ,42,5, 
7/24/2018,2, ,49,9, 
7/25/2018,2, ,63,6, 
7/26/2018,2, ,30,5, 
7/27/2018,2, ,22,4, 
7/28/2018,2, ,23,1, 
7/29/2018,2, ,39,3, 
7/30/2018,2, ,30,5, 
7/31/2018,2, ,30,6, 
8/1/2018,2, ,27,4, 
8/2/2018,2, ,34,2, 
8/3/2018,2, ,51,2, 
8/4/2018,2, ,41,2, 
8/5/2018,2, ,52,5, 
8/6/2018,2, ,57,4, 
8/7/2018,2, ,37,4, 
8/8/2018,2, ,48,3, 
8/9/2018,2, ,48,4, 
8/10/2018,2, ,43,3, 
8/11/2018,2, ,54,3, 
8/12/2018,2, ,44,5, 
8/13/2018,2, ,37,3, 
8/14/2018,2, ,53,4, 
8/15/2018,2, ,58,5, 
8/16/2018,2, ,63,5, 
8/17/2018,2, ,51,3, 
8/18/2018,2, ,57,1, 
8/19/2018,2, ,60,4, 
8/20/2018,2, , ,4, 
8/21/2018,2, , ,5,4
8/22/2018,2, , ,4, 
8/23/2018,2, , ,4, 
8/24/2018,2, , ,4, 
8/25/2018,2, , ,1, 
8/26/2018,2, , ,4, 
8/27/2018,2, ,31,4, 
8/28/2018,2, ,28,4,2
8/29/2018,2, ,29,7, 
8/30/2018,2, ,30,6, 
8/31/2018,2, ,23,4,1
9/1/2018,2,62,25,2,1
9/2/2018,2,68,34,6, 
9/3/2018,2,80,39,6,1
9/4/2018,2,84,40,9,1
9/5/2018,2,67,40,7,1
9/6/2018,2,69,42,4,1
9/7/2018,2,51,33,3,1
9/8/2018,2,44,26,2,1
9/9/2018,2,48,26,4,1
9/10/2018,2,69,32,2,1
9/11/2018,2,69,32,4,1
9/12/2018,2,58,30,7,1
9/13/2018,2,61,33,7,1
9/14/2018,2,54,25,4,1
9/15/2018,2,48,21,2,1
9/16/2018,2,57,29,6,1
9/17/2018,2,66,31,7,1
9/18/2018,2,52,26,2,1
9/19/2018,2,48,30,3,1
9/20/2018,2,57,28,6,1
9/21/2018,2,62,33,5,1
9/22/2018,2,56,31,3,1
9/23/2018,2,56,33,5,1
9/24/2018,2,62,32,4,2
9/25/2018,2,76,40,7,1
9/26/2018,2,67,35,5,1
9/27/2018,2,65,36,8,1
9/28/2018,2,72,37,9,3
9/29/2018,2,59,30,5,3
9/30/2018,2,60,41,8,2
10/1/2018,2,44,40,2,1
10/2/2018,2,44,39,5,1
10/3/2018,2,47,33,7,2
10/4/2018,2,37,26,7,1
10/5/2018,2,55,28,5,1
10/6/2018,2,65,29,3,1
10/7/2018,2,66,35,9,1
10/8/2018,2,67,30,6,1
10/9/2018,2,57,33,9,1
10/10/2018,2,55,30,7,1
10/11/2018,2,65,28,4,1
10/12/2018,2,57,26,5,1
10/13/2018,2,59,30,9,1
10/14/2018,2,66,38,8,1
10/15/2018,2,59,27,7, 
10/16/2018,2,54,24,6, 
10/17/2018,2,56,61,7, 
10/18/2018,2,75,84,6, 
10/19/2018,2,86, , , 
10/20/2018,2, ,76,9,2
10/21/2018,2,81,85,25,2
10/22/2018,2,89,86,19,2
10/23/2018,2,87,102,16,3
10/24/2018,2,109,123,8,2
10/25/2018,2,92,30,2, 
10/26/2018,2,32,32,7, 
10/27/2018,2,28,49,14,1
10/28/2018,2,34,71,21,1
10/29/2018,2,56,88,19,1
10/30/2018,2,82,61,23,1
10/31/2018,2,60,50,19,2
11/1/2018,2,48,38,14,2
11/2/2018,2,41,36,10,2
11/3/2018,2,54,59,20,3
11/4/2018,2,57,29,8,1
11/5/2018,2,46,34,11, 
11/6/2018,2,68,35,14,1
11/7/2018,2,65,36,18,1
11/8/2018,2,64,43,13,1
11/9/2018,2,72,38,8,1
11/10/2018,2,25,35,16,1
11/11/2018,2,59,30,11, 
11/12/2018,2,50,27,13,1
11/13/2018,2,49,29,12,1
11/14/2018,2,51,27,10,3
11/15/2018,2,48,27,6,1
11/16/2018,2,48,29,7,1
11/17/2018,2,44,41,20,1
11/18/2018,2,63,40,12,1
11/19/2018,2,67,40,16,1
11/20/2018,2,65,50,16,1
11/21/2018,2,65,48,15, 
11/22/2018,2,59,27,8, 
11/23/2018,2,28,23,8,1
11/24/2018,2,41,25,11,1
11/25/2018,2,41,33,15,1
11/26/2018,2,49,50,21,2
11/27/2018,2,67,48,20,1
11/28/2018,2,54,51,18,1
11/29/2018,2,62,39,6,1
11/30/2018,2,63,39,5,1
12/1/2018,2,47,40,21,1
12/2/2018,2,44,57,19,1
12/3/2018,2,68,41,10,3
12/4/2018,2,44,59,7, 
12/5/2018,2,45,35,5,2
12/6/2018,2,39,32,6,3
12/7/2018,2,45,29,5,1
12/8/2018,2,47,41,12,1
12/9/2018,2,49,51,11,1
12/10/2018,2,52,51,11,2
12/11/2018,2,52,51,6,1
12/12/2018,2,49,28,7,1
12/13/2018,2,39,26,14,2
12/14/2018,2,38,40,15,1
12/15/2018,2,51,66,18,1
12/16/2018,2,82,77,9,2
12/17/2018,2,80,44,12,2
12/18/2018,2,49,59,9,1
12/19/2018,2,65,33,6,1
12/20/2018,2,35,28,9,1
12/21/2018,2,41,23,8,1
12/22/2018,2,30,29,16,2
12/23/2018,2,46,34,14,2
12/24/2018,2,53,30,16,1
12/25/2018,2,46,30,10,1
12/26/2018,2,50,28,4,1
12/27/2018,2,35,28,5, 
12/28/2018,2,43,17,7, 
12/29/2018,2,41,24,9, 
12/30/2018,2,50, , , 
12/31/2018,2, ,59,15,1
1/1/2019,2,49,40,8,1
1/2/2019,2,57, ,8,1
1/3/2019,2,90, ,10,1
1/4/2019,2,54, ,7,1
1/5/2019,2,58, ,8,4
1/6/2019,2,96, ,7,2
1/7/2019,2,98, ,6,2
1/8/2019,2,47, ,7, 
1/9/2019,2,35, ,17,1
1/10/2019,2,43, ,18,1
1/11/2019,2,53, ,12,1
1/12/2019,2,63, ,7,3
